COD_MUNICIPIO,NOME_MUNICIPIO,MEDIA_SOMA_NOTA_CH,MEDIA_SOMA_NOTA_CN,MEDIA_SOMA_NOTA_LC,MEDIA_SOMA_NOTA_MT,MEDIA_SOMA_INSE_VALOR_ABSOLUTO
3515350,Euclides da Cunha Paulista,473.98,444.48,491.38,488.02,4.93
3515400,Fartura,525.03,485.33,529.2,562.26,5.14
3515509,Fernandópolis,515.76,497.81,531.51,561.31,5.36
3515608,Fernando Prestes,506.37,473.09,515.5,513.9,5.26
3515657,Fernão,516.13,491.56,543.98,559.56,5.3
3515707,Ferraz de Vasconcelos,498.69,463.99,521.54,509.17,5.17
3515806,Flora Rica,440.37,451.02,473.46,456.63,5.1
3515905,Floreal,461.43,450.3,484.94,490.57,5.28
3516002,Flórida Paulista,456.8,415.21,483.25,486.51,5.12
3516101,Florínea,481.5,401.45,502.52,436.85,5.14
3516200,Franca,521.56,492.02,536.29,556.57,5.36
3516309,Francisco Morato,497.06,460.65,517.26,497.59,5.02
3516408,Franco da Rocha,494.93,465.56,516.62,504.4,5.19
3516507,Gabriel Monteiro,525.18,491.98,534.69,605.78,5.55
3516606,Gália,442.74,446.22,472.82,444.58,5.09
3516705,Garça,508.52,484.23,519.41,521.06,5.2
3516804,Gastão Vidigal,476.16,448.54,519.95,524.04,4.89
3516853,Gavião Peixoto,437.6,444.47,508.68,446.37,5.15
3516903,General Salgado,487.11,471.99,512.29,531.34,5.09
3517000,Getulina,477.92,428.31,498.62,461.8,5.14
3517109,Glicério,470.62,450.67,496.83,477.03,5.1
3517208,Guaiçara,486.52,432.28,521.48,479.77,5.26
3517307,Guaimbê,446.46,428.65,485.09,475.11,5.18
3517406,Guaíra,510.77,495.77,526.51,548.58,5.3
3517505,Guapiaçu,516.72,478.28,528.84,513.76,5.26
3517604,Guapiara,498.25,456.09,510.28,489.13,4.66
3517703,Guará,485.04,464.26,498.91,525.17,5.11
3517802,Guaraçaí,474.64,464.59,506.19,515.27,5.22
3517901,Guaraci,464.23,435.55,488.19,477.36,5.11
3518008,Guarani d'Oeste,463.02,427.07,472.7,473.98,5.28
3518107,Guarantã,433.6,402.61,470.62,443.89,5.11
3518206,Guararapes,503.46,473.5,520.4,522.46,5.15
3518305,Guararema,478.49,460.67,499.83,486.68,5.23
3518404,Guaratinguetá,540.25,510.53,546.44,584.55,5.29
3518503,Guareí,473.99,436.31,493.96,487.58,5.04
3518602,Guariba,487.56,453.29,510.4,501.53,5.22
3518701,Guarujá,498.73,469.13,521.78,514.73,4.94
3518800,Guarulhos,507.45,471.35,526.54,523.64,5.19
3518859,Guatapará,464.87,444.34,512.36,471.28,5.13
3518909,Guzolândia,499.89,467.94,514.99,510.26,5.03
3519006,Herculândia,490.53,468.69,520.01,484.76,5.06
3519055,Holambra,516.01,498.67,522.82,550.9,5.31
3519071,Hortolândia,516.68,482.02,534.43,538.84,5.36
3519105,Iacanga,494.46,469.31,509.4,506.51,5.3
3519204,Iacri,499.79,477.13,504.01,541.33,5.22
3519253,Iaras,478.81,454.17,496.15,479.63,4.91
3519303,Ibaté,503.95,473.95,511.22,524.93,5.29
3519402,Ibirá,515.62,484.38,521.99,534.14,5.21
3519501,Ibirarema,467.07,415.6,499.18,484.24,5.24
3519600,Ibitinga,501.76,483.21,521.82,535.74,5.23
3519709,Ibiúna,494.53,466.79,511.65,512.29,5.03
3519808,Icém,500.45,453.2,518.42,512.49,5.26
3519907,Iepê,478.76,480.08,511.56,518.03,5.34
3520004,Igaraçu do Tietê,494.63,462.65,514.99,505.98,5.13
3520103,Igarapava,495.21,481.33,507.26,508.04,5.14
3520202,Igaratá,510.67,470.23,517.65,522.64,5.18
3520301,Iguape,517.9,473.53,527.42,511.41,4.85
3520400,Ilhabela,498.97,467.99,524.77,508.94,4.96
3520426,Ilha Comprida,502.75,463.71,510.69,505.08,5.1
3520442,Ilha Solteira,531.56,506.19,536.71,548.79,5.47
3520509,Indaiatuba,530.06,497.11,541.06,555.8,5.49
3520608,Indiana,493.92,457.7,502.96,536.15,5.31
3520707,Indiaporã,457.3,437.75,479.52,474.46,5.08
3520806,Inúbia Paulista,527.85,492.6,528.35,526.05,5.29
3520905,Ipaussu,520.94,487.42,531.04,550.53,5.16
3521002,Iperó,492.47,459.67,518.81,486.48,5.18
